Actual Name,Lowest Price,Median Price,Volume
XM1014 | Quicksilver (Battle-Scarred),$0.26,$0.26,3
Desert Eagle | Heat Treated (Well-Worn),$1.67,$1.68,768
★ StatTrak™ Navaja Knife | Damascus Steel (Field-Tested),$160.00,$147.82,1
P250 | Whiteout (Minimal Wear),$47.00,$46.43,4
Desert Eagle | Hypnotic (Factory New),$113.87,$113.86,2
Desert Eagle | Hypnotic (Factory New),$113.87,$113.86,2
SG 553 | Aloha (Field-Tested),$0.12,$0.10,332
MP9 | Black Sand (Field-Tested),$0.09,$0.07,132
R8 Revolver | Grip (Field-Tested),$0.10,$0.07,118
XM1014 | Oxide Blaze (Field-Tested),$0.10,$0.07,264
PP-Bizon | Night Riot (Field-Tested),$0.09,$0.07,183
P2000 | Urban Hazard (Field-Tested),$0.09,$0.08,105
